job_id,time,time_utc,monotonic,source,elapsed_s,hostname,role,metric,value,unit,device
181,1788449069.220462,2026-09-03T15:24:29.220462+00:00,,nvidia-smi,7.22,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449070.388485,2026-09-03T15:24:30.388485+00:00,,nvidia-smi,8.388,gpu-nodes-0,trainer,gpu_util_percent_mean,78.375,%,
181,1788449070.388485,2026-09-03T15:24:30.388485+00:00,,nvidia-smi,8.388,gpu-nodes-0,trainer,hbm_util_percent_mean,1.0,%,
181,1788449070.388485,2026-09-03T15:24:30.388485+00:00,,nvidia-smi,8.388,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449070.388485,2026-09-03T15:24:30.388485+00:00,,nvidia-smi,8.388,gpu-nodes-0,trainer,power_w_mean,276.55375,W,
181,1788449070.388485,2026-09-03T15:24:30.388485+00:00,,nvidia-smi,8.388,gpu-nodes-0,trainer,temperature_c_mean,34.875,C,
181,1788449070.388485,2026-09-03T15:24:30.388485+00:00,,nvidia-smi,8.388,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449071.563597,2026-09-03T15:24:31.563597+00:00,,nvidia-smi,9.564,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449071.563597,2026-09-03T15:24:31.563597+00:00,,nvidia-smi,9.564,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449071.563597,2026-09-03T15:24:31.563597+00:00,,nvidia-smi,9.564,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449071.563597,2026-09-03T15:24:31.563597+00:00,,nvidia-smi,9.564,gpu-nodes-0,trainer,power_w_mean,252.92,W,
181,1788449071.563597,2026-09-03T15:24:31.563597+00:00,,nvidia-smi,9.564,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449071.563597,2026-09-03T15:24:31.563597+00:00,,nvidia-smi,9.564,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449072.739296,2026-09-03T15:24:32.739296+00:00,,nvidia-smi,10.739,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449072.739296,2026-09-03T15:24:32.739296+00:00,,nvidia-smi,10.739,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449072.739296,2026-09-03T15:24:32.739296+00:00,,nvidia-smi,10.739,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449072.739296,2026-09-03T15:24:32.739296+00:00,,nvidia-smi,10.739,gpu-nodes-0,trainer,power_w_mean,252.84125,W,
181,1788449072.739296,2026-09-03T15:24:32.739296+00:00,,nvidia-smi,10.739,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449072.739296,2026-09-03T15:24:32.739296+00:00,,nvidia-smi,10.739,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449073.915219,2026-09-03T15:24:33.915219+00:00,,nvidia-smi,11.915,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449073.915219,2026-09-03T15:24:33.915219+00:00,,nvidia-smi,11.915,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449073.915219,2026-09-03T15:24:33.915219+00:00,,nvidia-smi,11.915,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449073.915219,2026-09-03T15:24:33.915219+00:00,,nvidia-smi,11.915,gpu-nodes-0,trainer,power_w_mean,252.785,W,
181,1788449073.915219,2026-09-03T15:24:33.915219+00:00,,nvidia-smi,11.915,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449073.915219,2026-09-03T15:24:33.915219+00:00,,nvidia-smi,11.915,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449075.862449,2026-09-03T15:24:35.862449+00:00,,nvidia-smi,13.862,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449075.862449,2026-09-03T15:24:35.862449+00:00,,nvidia-smi,13.862,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449075.862449,2026-09-03T15:24:35.862449+00:00,,nvidia-smi,13.862,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449075.862449,2026-09-03T15:24:35.862449+00:00,,nvidia-smi,13.862,gpu-nodes-0,trainer,power_w_mean,252.82,W,
181,1788449075.862449,2026-09-03T15:24:35.862449+00:00,,nvidia-smi,13.862,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449075.862449,2026-09-03T15:24:35.862449+00:00,,nvidia-smi,13.862,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449076.265317,2026-09-03T15:24:36.265317+00:00,,nvidia-smi,14.265,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449076.265317,2026-09-03T15:24:36.265317+00:00,,nvidia-smi,14.265,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449076.265317,2026-09-03T15:24:36.265317+00:00,,nvidia-smi,14.265,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449076.265317,2026-09-03T15:24:36.265317+00:00,,nvidia-smi,14.265,gpu-nodes-0,trainer,power_w_mean,252.7825,W,
181,1788449076.265317,2026-09-03T15:24:36.265317+00:00,,nvidia-smi,14.265,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449076.265317,2026-09-03T15:24:36.265317+00:00,,nvidia-smi,14.265,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449077.446929,2026-09-03T15:24:37.446929+00:00,,nvidia-smi,15.447,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449077.446929,2026-09-03T15:24:37.446929+00:00,,nvidia-smi,15.447,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449077.446929,2026-09-03T15:24:37.446929+00:00,,nvidia-smi,15.447,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449077.446929,2026-09-03T15:24:37.446929+00:00,,nvidia-smi,15.447,gpu-nodes-0,trainer,power_w_mean,252.85125,W,
181,1788449077.446929,2026-09-03T15:24:37.446929+00:00,,nvidia-smi,15.447,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449077.446929,2026-09-03T15:24:37.446929+00:00,,nvidia-smi,15.447,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449078.62038,2026-09-03T15:24:38.620380+00:00,,nvidia-smi,16.62,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449078.62038,2026-09-03T15:24:38.620380+00:00,,nvidia-smi,16.62,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449078.62038,2026-09-03T15:24:38.620380+00:00,,nvidia-smi,16.62,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449078.62038,2026-09-03T15:24:38.620380+00:00,,nvidia-smi,16.62,gpu-nodes-0,trainer,power_w_mean,252.8275,W,
181,1788449078.62038,2026-09-03T15:24:38.620380+00:00,,nvidia-smi,16.62,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449078.62038,2026-09-03T15:24:38.620380+00:00,,nvidia-smi,16.62,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449079.798428,2026-09-03T15:24:39.798428+00:00,,nvidia-smi,17.798,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449079.798428,2026-09-03T15:24:39.798428+00:00,,nvidia-smi,17.798,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449079.798428,2026-09-03T15:24:39.798428+00:00,,nvidia-smi,17.798,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449079.798428,2026-09-03T15:24:39.798428+00:00,,nvidia-smi,17.798,gpu-nodes-0,trainer,power_w_mean,252.77875,W,
181,1788449079.798428,2026-09-03T15:24:39.798428+00:00,,nvidia-smi,17.798,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449079.798428,2026-09-03T15:24:39.798428+00:00,,nvidia-smi,17.798,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449080.975985,2026-09-03T15:24:40.975985+00:00,,nvidia-smi,18.976,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449080.975985,2026-09-03T15:24:40.975985+00:00,,nvidia-smi,18.976,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449080.975985,2026-09-03T15:24:40.975985+00:00,,nvidia-smi,18.976,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449080.975985,2026-09-03T15:24:40.975985+00:00,,nvidia-smi,18.976,gpu-nodes-0,trainer,power_w_mean,252.79125,W,
181,1788449080.975985,2026-09-03T15:24:40.975985+00:00,,nvidia-smi,18.976,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449080.975985,2026-09-03T15:24:40.975985+00:00,,nvidia-smi,18.976,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449082.149863,2026-09-03T15:24:42.149863+00:00,,nvidia-smi,20.15,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449082.149863,2026-09-03T15:24:42.149863+00:00,,nvidia-smi,20.15,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449082.149863,2026-09-03T15:24:42.149863+00:00,,nvidia-smi,20.15,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449082.149863,2026-09-03T15:24:42.149863+00:00,,nvidia-smi,20.15,gpu-nodes-0,trainer,power_w_mean,252.87625,W,
181,1788449082.149863,2026-09-03T15:24:42.149863+00:00,,nvidia-smi,20.15,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449082.149863,2026-09-03T15:24:42.149863+00:00,,nvidia-smi,20.15,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449083.321224,2026-09-03T15:24:43.321224+00:00,,nvidia-smi,21.321,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449083.321224,2026-09-03T15:24:43.321224+00:00,,nvidia-smi,21.321,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449083.321224,2026-09-03T15:24:43.321224+00:00,,nvidia-smi,21.321,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449083.321224,2026-09-03T15:24:43.321224+00:00,,nvidia-smi,21.321,gpu-nodes-0,trainer,power_w_mean,252.985,W,
181,1788449083.321224,2026-09-03T15:24:43.321224+00:00,,nvidia-smi,21.321,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449083.321224,2026-09-03T15:24:43.321224+00:00,,nvidia-smi,21.321,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449084.487961,2026-09-03T15:24:44.487961+00:00,,nvidia-smi,22.488,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449084.487961,2026-09-03T15:24:44.487961+00:00,,nvidia-smi,22.488,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449084.487961,2026-09-03T15:24:44.487961+00:00,,nvidia-smi,22.488,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449084.487961,2026-09-03T15:24:44.487961+00:00,,nvidia-smi,22.488,gpu-nodes-0,trainer,power_w_mean,253.13875000000002,W,
181,1788449084.487961,2026-09-03T15:24:44.487961+00:00,,nvidia-smi,22.488,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449084.487961,2026-09-03T15:24:44.487961+00:00,,nvidia-smi,22.488,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449085.656931,2026-09-03T15:24:45.656931+00:00,,nvidia-smi,23.657,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449085.656931,2026-09-03T15:24:45.656931+00:00,,nvidia-smi,23.657,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449085.656931,2026-09-03T15:24:45.656931+00:00,,nvidia-smi,23.657,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449085.656931,2026-09-03T15:24:45.656931+00:00,,nvidia-smi,23.657,gpu-nodes-0,trainer,power_w_mean,252.9475,W,
181,1788449085.656931,2026-09-03T15:24:45.656931+00:00,,nvidia-smi,23.657,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449085.656931,2026-09-03T15:24:45.656931+00:00,,nvidia-smi,23.657,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449086.830008,2026-09-03T15:24:46.830008+00:00,,nvidia-smi,24.83,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449086.830008,2026-09-03T15:24:46.830008+00:00,,nvidia-smi,24.83,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449086.830008,2026-09-03T15:24:46.830008+00:00,,nvidia-smi,24.83,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449086.830008,2026-09-03T15:24:46.830008+00:00,,nvidia-smi,24.83,gpu-nodes-0,trainer,power_w_mean,252.77625,W,
181,1788449086.830008,2026-09-03T15:24:46.830008+00:00,,nvidia-smi,24.83,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449086.830008,2026-09-03T15:24:46.830008+00:00,,nvidia-smi,24.83,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449088.139965,2026-09-03T15:24:48.139965+00:00,,nvidia-smi,26.14,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449088.139965,2026-09-03T15:24:48.139965+00:00,,nvidia-smi,26.14,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449088.139965,2026-09-03T15:24:48.139965+00:00,,nvidia-smi,26.14,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449088.139965,2026-09-03T15:24:48.139965+00:00,,nvidia-smi,26.14,gpu-nodes-0,trainer,power_w_mean,252.81,W,
181,1788449088.139965,2026-09-03T15:24:48.139965+00:00,,nvidia-smi,26.14,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449088.139965,2026-09-03T15:24:48.139965+00:00,,nvidia-smi,26.14,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449089.189475,2026-09-03T15:24:49.189475+00:00,,nvidia-smi,27.189,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449089.189475,2026-09-03T15:24:49.189475+00:00,,nvidia-smi,27.189,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449089.189475,2026-09-03T15:24:49.189475+00:00,,nvidia-smi,27.189,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449089.189475,2026-09-03T15:24:49.189475+00:00,,nvidia-smi,27.189,gpu-nodes-0,trainer,power_w_mean,252.73624999999998,W,
181,1788449089.189475,2026-09-03T15:24:49.189475+00:00,,nvidia-smi,27.189,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449089.189475,2026-09-03T15:24:49.189475+00:00,,nvidia-smi,27.189,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449090.36509,2026-09-03T15:24:50.365090+00:00,,nvidia-smi,28.365,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449090.36509,2026-09-03T15:24:50.365090+00:00,,nvidia-smi,28.365,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449090.36509,2026-09-03T15:24:50.365090+00:00,,nvidia-smi,28.365,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449090.36509,2026-09-03T15:24:50.365090+00:00,,nvidia-smi,28.365,gpu-nodes-0,trainer,power_w_mean,252.72625,W,
181,1788449090.36509,2026-09-03T15:24:50.365090+00:00,,nvidia-smi,28.365,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449090.36509,2026-09-03T15:24:50.365090+00:00,,nvidia-smi,28.365,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449091.555341,2026-09-03T15:24:51.555341+00:00,,nvidia-smi,29.555,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449091.555341,2026-09-03T15:24:51.555341+00:00,,nvidia-smi,29.555,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449091.555341,2026-09-03T15:24:51.555341+00:00,,nvidia-smi,29.555,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449091.555341,2026-09-03T15:24:51.555341+00:00,,nvidia-smi,29.555,gpu-nodes-0,trainer,power_w_mean,252.73,W,
181,1788449091.555341,2026-09-03T15:24:51.555341+00:00,,nvidia-smi,29.555,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449091.555341,2026-09-03T15:24:51.555341+00:00,,nvidia-smi,29.555,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449092.729522,2026-09-03T15:24:52.729522+00:00,,nvidia-smi,30.73,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449092.729522,2026-09-03T15:24:52.729522+00:00,,nvidia-smi,30.73,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449092.729522,2026-09-03T15:24:52.729522+00:00,,nvidia-smi,30.73,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449092.729522,2026-09-03T15:24:52.729522+00:00,,nvidia-smi,30.73,gpu-nodes-0,trainer,power_w_mean,252.74125,W,
181,1788449092.729522,2026-09-03T15:24:52.729522+00:00,,nvidia-smi,30.73,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449092.729522,2026-09-03T15:24:52.729522+00:00,,nvidia-smi,30.73,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449093.90095,2026-09-03T15:24:53.900950+00:00,,nvidia-smi,31.901,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449093.90095,2026-09-03T15:24:53.900950+00:00,,nvidia-smi,31.901,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449093.90095,2026-09-03T15:24:53.900950+00:00,,nvidia-smi,31.901,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449093.90095,2026-09-03T15:24:53.900950+00:00,,nvidia-smi,31.901,gpu-nodes-0,trainer,power_w_mean,252.81875,W,
181,1788449093.90095,2026-09-03T15:24:53.900950+00:00,,nvidia-smi,31.901,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449093.90095,2026-09-03T15:24:53.900950+00:00,,nvidia-smi,31.901,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449095.694536,2026-09-03T15:24:55.694536+00:00,,nvidia-smi,33.695,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449095.694536,2026-09-03T15:24:55.694536+00:00,,nvidia-smi,33.695,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449095.694536,2026-09-03T15:24:55.694536+00:00,,nvidia-smi,33.695,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449095.694536,2026-09-03T15:24:55.694536+00:00,,nvidia-smi,33.695,gpu-nodes-0,trainer,power_w_mean,252.8125,W,
181,1788449095.694536,2026-09-03T15:24:55.694536+00:00,,nvidia-smi,33.695,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449095.694536,2026-09-03T15:24:55.694536+00:00,,nvidia-smi,33.695,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449096.244751,2026-09-03T15:24:56.244751+00:00,,nvidia-smi,34.245,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449096.244751,2026-09-03T15:24:56.244751+00:00,,nvidia-smi,34.245,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449096.244751,2026-09-03T15:24:56.244751+00:00,,nvidia-smi,34.245,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
181,1788449096.244751,2026-09-03T15:24:56.244751+00:00,,nvidia-smi,34.245,gpu-nodes-0,trainer,power_w_mean,252.705,W,
181,1788449096.244751,2026-09-03T15:24:56.244751+00:00,,nvidia-smi,34.245,gpu-nodes-0,trainer,temperature_c_mean,34.25,C,
181,1788449096.244751,2026-09-03T15:24:56.244751+00:00,,nvidia-smi,34.245,gpu-nodes-0,trainer,sm_clock_mhz_mean,1965.0,MHz,
181,1788449097.411744,2026-09-03T15:24:57.411744+00:00,,nvidia-smi,35.412,gpu-nodes-0,trainer,gpu_util_percent_mean,0.0,%,
181,1788449097.411744,2026-09-03T15:24:57.411744+00:00,,nvidia-smi,35.412,gpu-nodes-0,trainer,hbm_util_percent_mean,0.0,%,
181,1788449097.411744,2026-09-03T15:24:57.411744+00:00,,nvidia-smi,35.412,gpu-nodes-0,trainer,hbm_used_mib_mean,10289.5,MiB,
