time,node,metric,unit,n,min,mean,p95,max
2026-09-02T22:46:00Z,gpu-nodes-0,gpu_hbm_used,GiB,344,0.0,1.22394,4.45215,4.47168
2026-09-02T22:46:00Z,gpu-nodes-0,gpu_power,W,344,186.44,223.871,256.138,257.09
2026-09-02T22:46:00Z,gpu-nodes-0,gpu_utilization,%,344,0.0,1.28779,1.0,100.0
2026-09-02T22:46:00Z,gpu-nodes-0,host_cpu_busy,%,42,0.568204,2.51391,5.08524,5.39124
2026-09-02T22:46:00Z,gpu-nodes-0,host_memory_available,GiB,43,2928.17,2932.63,2937.01,2937.09
2026-09-02T22:46:00Z,gpu-nodes-0,ib_rail_rx,GB/s,336,0.0,0.00011412,5.76953e-07,0.00465206
2026-09-02T22:46:00Z,gpu-nodes-0,ib_rail_tx,GB/s,336,0.0,0.000114113,5.76953e-07,0.00465201
2026-09-02T22:46:00Z,gpu-nodes-0,lustre_client_read,GB/s,57,0.0,0.0197956,0.114685,0.47493
2026-09-02T22:46:00Z,gpu-nodes-0,lustre_client_write,GB/s,57,5.32717e-05,0.000365014,0.000795529,0.00161889
2026-09-02T22:46:00Z,gpu-nodes-0,nvlink_gpu_tx,GB/s,336,0.0,0.000941,0.000919477,0.0386034
2026-09-02T22:46:00Z,gpu-nodes-0,shared_storage_available,TiB,43,2.2766,2.27663,2.27666,2.27667
2026-09-02T22:46:00Z,gpu-nodes-1,gpu_hbm_used,GiB,312,0.0,1.32237,4.49121,4.51074
2026-09-02T22:46:00Z,gpu-nodes-1,gpu_power,W,312,183.69,222.483,256.592,257.86
2026-09-02T22:46:00Z,gpu-nodes-1,gpu_utilization,%,312,0.0,0.0512821,0.0,3.0
2026-09-02T22:46:00Z,gpu-nodes-1,host_cpu_busy,%,38,0.567937,2.12037,4.26047,4.41516
2026-09-02T22:46:00Z,gpu-nodes-1,host_memory_available,GiB,39,2951.3,2955.74,2960.09,2960.13
2026-09-02T22:46:00Z,gpu-nodes-1,ib_rail_rx,GB/s,304,0.0,0.000129953,5.75898e-07,0.00494213
2026-09-02T22:46:00Z,gpu-nodes-1,ib_rail_tx,GB/s,304,0.0,0.000129948,5.75898e-07,0.00494216
2026-09-02T22:46:00Z,gpu-nodes-1,lustre_client_read,GB/s,55,0.0,0.017366,0.103005,0.389585
2026-09-02T22:46:00Z,gpu-nodes-1,lustre_client_write,GB/s,55,5.3149e-05,0.000353232,0.000764681,0.00161947
2026-09-02T22:46:00Z,gpu-nodes-1,nvlink_gpu_tx,GB/s,304,0.0,0.00104002,0.000919296,0.038603
2026-09-02T22:46:00Z,gpu-nodes-1,shared_storage_available,TiB,39,2.2766,2.27663,2.27666,2.27666
2026-09-02T22:46:00Z,gpu-nodes-2,gpu_hbm_used,GiB,336,0.0,1.2724,4.49121,4.51074
2026-09-02T22:46:00Z,gpu-nodes-2,gpu_power,W,336,187.96,221.604,250.71,251.59
2026-09-02T22:46:00Z,gpu-nodes-2,gpu_utilization,%,336,0.0,0.678571,0.0,71.0
2026-09-02T22:46:00Z,gpu-nodes-2,host_cpu_busy,%,41,0.554991,2.14852,4.06695,4.17498
2026-09-02T22:46:00Z,gpu-nodes-2,host_memory_available,GiB,42,2960.07,2964.53,2968.84,2968.86
2026-09-02T22:46:00Z,gpu-nodes-2,ib_rail_rx,GB/s,328,0.0,0.000120448,5.75983e-07,0.00494055
2026-09-02T22:46:00Z,gpu-nodes-2,ib_rail_tx,GB/s,328,0.0,0.000120436,5.75983e-07,0.00493985
2026-09-02T22:46:00Z,gpu-nodes-2,lustre_client_read,GB/s,54,0.0,0.0176604,0.0914678,0.469891
2026-09-02T22:46:00Z,gpu-nodes-2,lustre_client_write,GB/s,54,2.95508e-05,0.000348807,0.00089585,0.00169756
2026-09-02T22:46:00Z,gpu-nodes-2,nvlink_gpu_tx,GB/s,328,0.0,0.000963961,0.00091947,0.0386054
