time,node,metric,unit,n,min,mean,p95,max
2026-09-03T04:23:00Z,gpu-nodes-0,gpu_hbm_used,GiB,88,0.717468,0.718586,0.721008,0.721008
2026-09-03T04:23:00Z,gpu-nodes-0,gpu_power,W,88,186.309,191.709,195.44,197.553
2026-09-03T04:23:00Z,gpu-nodes-0,gpu_utilization,%,88,0,0,0.0,0
2026-09-03T04:23:00Z,gpu-nodes-0,host_cpu_busy,%,10,0.751346,1.27689,2.19599,2.25497
2026-09-03T04:23:00Z,gpu-nodes-0,host_memory_available,GiB,11,2947.93,2948.11,2948.41,2948.41
2026-09-03T04:23:00Z,gpu-nodes-0,ib_rail_rx,GB/s,80,0.0,1.07924e-08,0.0,8.63391e-07
2026-09-03T04:23:00Z,gpu-nodes-0,ib_rail_tx,GB/s,80,0.0,1.07924e-08,0.0,8.63391e-07
2026-09-03T04:23:00Z,gpu-nodes-0,lustre_client_read,GB/s,22,0.0,0.0277762,0.115758,0.459839
2026-09-03T04:23:00Z,gpu-nodes-0,lustre_client_write,GB/s,22,5.34605e-05,0.000333918,0.000462062,0.0017527
2026-09-03T04:23:00Z,gpu-nodes-0,nvlink_gpu_tx,GB/s,80,0.0,0.0,0.0,0.0
2026-09-03T04:23:00Z,gpu-nodes-0,shared_storage_available,TiB,12,0.422443,0.422452,0.422459,0.42246
2026-09-03T04:23:00Z,gpu-nodes-1,gpu_hbm_used,GiB,88,0.717468,0.718752,0.721008,0.721008
2026-09-03T04:23:00Z,gpu-nodes-1,gpu_power,W,88,183.727,189.824,196.055,202.313
2026-09-03T04:23:00Z,gpu-nodes-1,gpu_utilization,%,88,0,0,0.0,0
2026-09-03T04:23:00Z,gpu-nodes-1,host_cpu_busy,%,10,0.635996,0.838169,1.12428,1.27699
2026-09-03T04:23:00Z,gpu-nodes-1,host_memory_available,GiB,11,2964.17,2964.37,2964.68,2964.68
2026-09-03T04:23:00Z,gpu-nodes-1,ib_rail_rx,GB/s,80,0.0,0.0,0.0,0.0
2026-09-03T04:23:00Z,gpu-nodes-1,ib_rail_tx,GB/s,80,0.0,0.0,0.0,0.0
2026-09-03T04:23:00Z,gpu-nodes-1,lustre_client_read,GB/s,21,0.0,0.0290999,0.200457,0.397579
2026-09-03T04:23:00Z,gpu-nodes-1,lustre_client_write,GB/s,21,5.3325e-05,0.000330785,0.000466663,0.00162075
2026-09-03T04:23:00Z,gpu-nodes-1,nvlink_gpu_tx,GB/s,80,0.0,0.0,0.0,0.0
2026-09-03T04:23:00Z,gpu-nodes-1,shared_storage_available,TiB,11,0.422444,0.422452,0.422459,0.42246
2026-09-03T04:23:00Z,gpu-nodes-2,gpu_hbm_used,GiB,96,0.717468,0.718905,0.721008,0.721008
2026-09-03T04:23:00Z,gpu-nodes-2,gpu_power,W,96,187.284,192.379,196.902,200.57
2026-09-03T04:23:00Z,gpu-nodes-2,gpu_utilization,%,96,0,0,0.0,0
2026-09-03T04:23:00Z,gpu-nodes-2,host_cpu_busy,%,11,0.700832,0.886891,1.0273,1.03416
2026-09-03T04:23:00Z,gpu-nodes-2,host_memory_available,GiB,12,2970.77,2970.97,2971.3,2971.3
2026-09-03T04:23:00Z,gpu-nodes-2,ib_rail_rx,GB/s,88,0.0,0.0,0.0,0.0
2026-09-03T04:23:00Z,gpu-nodes-2,ib_rail_tx,GB/s,88,0.0,0.0,0.0,0.0
2026-09-03T04:23:00Z,gpu-nodes-2,lustre_client_read,GB/s,19,0.0,0.0321657,0.155188,0.468618
2026-09-03T04:23:00Z,gpu-nodes-2,lustre_client_write,GB/s,19,2.98602e-05,0.000355127,0.000844457,0.00159356
2026-09-03T04:23:00Z,gpu-nodes-2,nvlink_gpu_tx,GB/s,88,0.0,0.0,0.0,0.0
2026-09-03T04:23:00Z,gpu-nodes-2,shared_storage_available,TiB,12,0.422443,0.422452,0.42246,0.42246
