time,node,metric,unit,n,min,mean,p95,max
2026-09-03T03:34:00Z,gpu-nodes-0,gpu_hbm_used,GiB,128,0.717468,0.718367,0.721008,0.721008
2026-09-03T03:34:00Z,gpu-nodes-0,gpu_power,W,128,186.498,191.882,195.497,199.291
2026-09-03T03:34:00Z,gpu-nodes-0,gpu_utilization,%,128,0,0,0.0,0
2026-09-03T03:34:00Z,gpu-nodes-0,host_cpu_busy,%,15,0.7064,1.39428,2.92319,3.18511
2026-09-03T03:34:00Z,gpu-nodes-0,host_memory_available,GiB,16,2946.74,2947.17,2947.67,2947.71
2026-09-03T03:34:00Z,gpu-nodes-0,ib_rail_rx,GB/s,120,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-0,ib_rail_tx,GB/s,120,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-0,lustre_client_read,GB/s,28,0.0,0.0224354,0.0677308,0.484928
2026-09-03T03:34:00Z,gpu-nodes-0,lustre_client_write,GB/s,28,5.32806e-05,0.000326887,0.000453723,0.00196719
2026-09-03T03:34:00Z,gpu-nodes-0,nvlink_gpu_tx,GB/s,120,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-0,shared_storage_available,TiB,16,1.32908,1.32909,1.3291,1.3291
2026-09-03T03:34:00Z,gpu-nodes-1,gpu_hbm_used,GiB,120,0.717468,0.718207,0.721008,0.721008
2026-09-03T03:34:00Z,gpu-nodes-1,gpu_power,W,120,183.738,189.282,196.087,198.77
2026-09-03T03:34:00Z,gpu-nodes-1,gpu_utilization,%,120,0,0,0.0,0
2026-09-03T03:34:00Z,gpu-nodes-1,host_cpu_busy,%,14,0.571834,0.881428,1.26565,1.65139
2026-09-03T03:34:00Z,gpu-nodes-1,host_memory_available,GiB,15,2959.91,2960.33,2960.71,2960.71
2026-09-03T03:34:00Z,gpu-nodes-1,ib_rail_rx,GB/s,112,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-1,ib_rail_tx,GB/s,112,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-1,lustre_client_read,GB/s,27,0.0,0.0231845,0.0894131,0.475244
2026-09-03T03:34:00Z,gpu-nodes-1,lustre_client_write,GB/s,27,5.33231e-05,0.000324091,0.000454739,0.00140898
2026-09-03T03:34:00Z,gpu-nodes-1,nvlink_gpu_tx,GB/s,112,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-1,shared_storage_available,TiB,15,1.32908,1.32909,1.3291,1.3291
2026-09-03T03:34:00Z,gpu-nodes-2,gpu_hbm_used,GiB,128,0.717468,0.718252,0.721008,0.721008
2026-09-03T03:34:00Z,gpu-nodes-2,gpu_power,W,128,187.977,192.844,197.57,200.967
2026-09-03T03:34:00Z,gpu-nodes-2,gpu_utilization,%,128,0,0,0.0,0
2026-09-03T03:34:00Z,gpu-nodes-2,host_cpu_busy,%,15,0.552118,0.874938,1.24008,1.3179
2026-09-03T03:34:00Z,gpu-nodes-2,host_memory_available,GiB,16,2972.99,2973.43,2973.82,2973.82
2026-09-03T03:34:00Z,gpu-nodes-2,ib_rail_rx,GB/s,120,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-2,ib_rail_tx,GB/s,120,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-2,lustre_client_read,GB/s,25,0.0,0.0250414,0.0500085,0.513617
2026-09-03T03:34:00Z,gpu-nodes-2,lustre_client_write,GB/s,25,2.98539e-05,0.00033351,0.000429215,0.00190468
2026-09-03T03:34:00Z,gpu-nodes-2,nvlink_gpu_tx,GB/s,120,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-2,shared_storage_available,TiB,16,1.32908,1.32909,1.3291,1.3291
2026-09-03T03:34:00Z,gpu-nodes-3,gpu_hbm_used,GiB,128,0.717468,0.718243,0.721008,0.721008
2026-09-03T03:34:00Z,gpu-nodes-3,gpu_power,W,128,193.814,196.457,200.349,205.163
2026-09-03T03:34:00Z,gpu-nodes-3,gpu_utilization,%,128,0,0,0.0,0
2026-09-03T03:34:00Z,gpu-nodes-3,host_cpu_busy,%,15,0.585008,0.854964,1.09583,1.31747
2026-09-03T03:34:00Z,gpu-nodes-3,host_memory_available,GiB,16,2965.05,2965.48,2965.84,2965.84
2026-09-03T03:34:00Z,gpu-nodes-3,ib_rail_rx,GB/s,120,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-3,ib_rail_tx,GB/s,120,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-3,lustre_client_read,GB/s,24,0.0,0.0260849,0.106524,0.46399
2026-09-03T03:34:00Z,gpu-nodes-3,lustre_client_write,GB/s,24,3.74438e-05,0.000356539,0.000441433,0.00139194
2026-09-03T03:34:00Z,gpu-nodes-3,nvlink_gpu_tx,GB/s,120,0.0,0.0,0.0,0.0
2026-09-03T03:34:00Z,gpu-nodes-3,shared_storage_available,TiB,16,1.32908,1.32909,1.3291,1.3291
2026-09-03T03:35:00Z,gpu-nodes-0,gpu_hbm_used,GiB,464,0.717468,1.75337,5.16925,5.18878
2026-09-03T03:35:00Z,gpu-nodes-0,gpu_power,W,464,186.506,217.187,255.762,261.438
2026-09-03T03:35:00Z,gpu-nodes-0,gpu_utilization,%,464,0,0.0344828,0.0,2
2026-09-03T03:35:00Z,gpu-nodes-0,host_cpu_busy,%,58,0.700376,2.5206,4.80274,6.35317
2026-09-03T03:35:00Z,gpu-nodes-0,host_memory_available,GiB,58,2939.21,2942.72,2946.79,2947.27
2026-09-03T03:35:00Z,gpu-nodes-0,ib_rail_rx,GB/s,464,0.0,8.25895e-05,5.75251e-07,0.0047911
2026-09-03T03:35:00Z,gpu-nodes-0,ib_rail_tx,GB/s,464,0.0,8.259e-05,5.75251e-07,0.00479107
2026-09-03T03:35:00Z,gpu-nodes-0,lustre_client_read,GB/s,60,3.70928e-07,0.025234,0.123581,0.409078
2026-09-03T03:35:00Z,gpu-nodes-0,lustre_client_write,GB/s,60,5.75235e-05,0.000451,0.000794708,0.0011871
2026-09-03T03:35:00Z,gpu-nodes-0,nvlink_gpu_tx,GB/s,464,0.0,0.000681409,0.0,0.038606
2026-09-03T03:35:00Z,gpu-nodes-0,shared_storage_available,TiB,58,1.32898,1.32903,1.32907,1.32908
