time,node,metric,unit,n,min,mean,p95,max
2026-09-03T04:16:00Z,gpu-nodes-0,gpu_hbm_used,GiB,16,0.717468,0.717468,0.717468,0.717468
2026-09-03T04:16:00Z,gpu-nodes-0,gpu_power,W,16,186.402,192.259,197.6,197.666
2026-09-03T04:16:00Z,gpu-nodes-0,gpu_utilization,%,16,0,0,0.0,0
2026-09-03T04:16:00Z,gpu-nodes-0,host_cpu_busy,%,1,0.662464,0.662464,0.662464,0.662464
2026-09-03T04:16:00Z,gpu-nodes-0,host_memory_available,GiB,2,2928.5,2928.5,2928.5,2928.5
2026-09-03T04:16:00Z,gpu-nodes-0,ib_rail_rx,GB/s,8,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-0,ib_rail_tx,GB/s,8,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-0,lustre_client_read,GB/s,16,0.0,0.0383821,0.214768,0.469316
2026-09-03T04:16:00Z,gpu-nodes-0,lustre_client_write,GB/s,16,5.34549e-05,0.000320399,0.000776589,0.0017167
2026-09-03T04:16:00Z,gpu-nodes-0,nvlink_gpu_tx,GB/s,8,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-0,shared_storage_available,TiB,2,0.422579,0.42258,0.42258,0.42258
2026-09-03T04:16:00Z,gpu-nodes-1,gpu_hbm_used,GiB,16,0.717468,0.717468,0.717468,0.717468
2026-09-03T04:16:00Z,gpu-nodes-1,gpu_power,W,16,183.776,190.39,197.282,198.838
2026-09-03T04:16:00Z,gpu-nodes-1,gpu_utilization,%,16,0,0,0.0,0
2026-09-03T04:16:00Z,gpu-nodes-1,host_cpu_busy,%,2,0.629206,0.769149,0.895097,0.909091
2026-09-03T04:16:00Z,gpu-nodes-1,host_memory_available,GiB,3,2965.39,2965.47,2965.51,2965.51
2026-09-03T04:16:00Z,gpu-nodes-1,ib_rail_rx,GB/s,8,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-1,ib_rail_tx,GB/s,8,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-1,lustre_client_read,GB/s,14,0.0,0.0436549,0.276053,0.375591
2026-09-03T04:16:00Z,gpu-nodes-1,lustre_client_write,GB/s,14,5.33208e-05,0.000310009,0.00111468,0.00162049
2026-09-03T04:16:00Z,gpu-nodes-1,nvlink_gpu_tx,GB/s,8,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-1,shared_storage_available,TiB,3,0.422576,0.422577,0.422579,0.422579
2026-09-03T04:16:00Z,gpu-nodes-2,gpu_hbm_used,GiB,24,0.717468,0.717468,0.717468,0.717468
2026-09-03T04:16:00Z,gpu-nodes-2,gpu_power,W,24,187.99,193.132,197.508,197.531
2026-09-03T04:16:00Z,gpu-nodes-2,gpu_utilization,%,24,0,0,0.0,0
2026-09-03T04:16:00Z,gpu-nodes-2,host_cpu_busy,%,3,0.616538,0.874709,1.01462,1.01733
2026-09-03T04:16:00Z,gpu-nodes-2,host_memory_available,GiB,4,2970.73,2970.93,2971.06,2971.07
2026-09-03T04:16:00Z,gpu-nodes-2,ib_rail_rx,GB/s,24,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-2,ib_rail_tx,GB/s,24,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-2,lustre_client_read,GB/s,13,0.0,0.0470071,0.267502,0.455694
2026-09-03T04:16:00Z,gpu-nodes-2,lustre_client_write,GB/s,13,2.99517e-05,0.000362601,0.000952418,0.0017272
2026-09-03T04:16:00Z,gpu-nodes-2,nvlink_gpu_tx,GB/s,16,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-2,shared_storage_available,TiB,4,0.422575,0.422577,0.42258,0.42258
2026-09-03T04:16:00Z,gpu-nodes-3,gpu_hbm_used,GiB,32,0.717468,0.717468,0.717468,0.717468
2026-09-03T04:16:00Z,gpu-nodes-3,gpu_power,W,32,193.775,196.446,200.852,201.625
2026-09-03T04:16:00Z,gpu-nodes-3,gpu_utilization,%,32,0,0,0.0,0
2026-09-03T04:16:00Z,gpu-nodes-3,host_cpu_busy,%,3,0.70266,0.867616,0.956673,0.958317
2026-09-03T04:16:00Z,gpu-nodes-3,host_memory_available,GiB,4,2963.09,2963.26,2963.37,2963.37
2026-09-03T04:16:00Z,gpu-nodes-3,ib_rail_rx,GB/s,24,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-3,ib_rail_tx,GB/s,24,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-3,lustre_client_read,GB/s,11,0.0,0.0555598,0.304271,0.458098
2026-09-03T04:16:00Z,gpu-nodes-3,lustre_client_write,GB/s,11,3.74503e-05,0.00036598,0.00102555,0.00160499
2026-09-03T04:16:00Z,gpu-nodes-3,nvlink_gpu_tx,GB/s,24,0.0,0.0,0.0,0.0
2026-09-03T04:16:00Z,gpu-nodes-3,shared_storage_available,TiB,4,0.422574,0.422577,0.422579,0.422579
