time,node,metric,unit,n,min,mean,p95,max
2026-09-03T04:57:00Z,gpu-nodes-1,lustre_client_read,GB/s,4,3.6993e-07,3.70947e-07,3.71807e-07,3.71956e-07
2026-09-03T04:57:00Z,gpu-nodes-1,lustre_client_write,GB/s,4,0.000424298,0.000424617,0.000424944,0.000424954
2026-09-03T04:57:00Z,gpu-nodes-1,shared_storage_available,TiB,1,0.420559,0.420559,0.420559,0.420559
2026-09-03T04:57:00Z,gpu-nodes-2,gpu_hbm_used,GiB,8,0.717529,0.71946,0.721008,0.721008
2026-09-03T04:57:00Z,gpu-nodes-2,gpu_power,W,8,189.345,193.61,197.315,197.518
2026-09-03T04:57:00Z,gpu-nodes-2,gpu_utilization,%,8,0,0,0.0,0
2026-09-03T04:57:00Z,gpu-nodes-2,host_cpu_busy,%,2,0.773446,0.829557,0.880057,0.885668
2026-09-03T04:57:00Z,gpu-nodes-2,host_memory_available,GiB,2,2936.42,2936.43,2936.44,2936.44
2026-09-03T04:57:00Z,gpu-nodes-2,ib_rail_rx,GB/s,16,0.0,0.0,0.0,0.0
2026-09-03T04:57:00Z,gpu-nodes-2,ib_rail_tx,GB/s,16,0.0,0.0,0.0,0.0
2026-09-03T04:57:00Z,gpu-nodes-2,lustre_client_read,GB/s,4,3.69929e-07,3.70452e-07,3.70959e-07,3.70962e-07
2026-09-03T04:57:00Z,gpu-nodes-2,lustre_client_write,GB/s,4,0.00039716,0.000397207,0.000397236,0.000397238
2026-09-03T04:57:00Z,gpu-nodes-2,nvlink_gpu_tx,GB/s,8,0.0,0.0,0.0,0.0
2026-09-03T04:57:00Z,gpu-nodes-2,shared_storage_available,TiB,2,0.42056,0.42056,0.42056,0.42056
2026-09-03T04:57:00Z,gpu-nodes-3,gpu_hbm_used,GiB,16,0.717529,0.720177,0.721008,0.721008
2026-09-03T04:57:00Z,gpu-nodes-3,gpu_power,W,16,193.927,196.929,199.44,199.582
2026-09-03T04:57:00Z,gpu-nodes-3,gpu_utilization,%,16,0,0,0.0,0
2026-09-03T04:57:00Z,gpu-nodes-3,host_cpu_busy,%,2,0.707778,0.797387,0.878036,0.886997
2026-09-03T04:57:00Z,gpu-nodes-3,host_memory_available,GiB,2,2933.22,2933.24,2933.25,2933.25
2026-09-03T04:57:00Z,gpu-nodes-3,ib_rail_rx,GB/s,16,0.0,0.0,0.0,0.0
2026-09-03T04:57:00Z,gpu-nodes-3,ib_rail_tx,GB/s,16,0.0,0.0,0.0,0.0
2026-09-03T04:57:00Z,gpu-nodes-3,lustre_client_read,GB/s,4,3.70936e-07,3.71187e-07,3.71779e-07,3.71926e-07
2026-09-03T04:57:00Z,gpu-nodes-3,lustre_client_write,GB/s,4,4.0435e-05,0.00031595,0.000720023,0.00077512
2026-09-03T04:57:00Z,gpu-nodes-3,nvlink_gpu_tx,GB/s,16,0.0,0.0,0.0,0.0
2026-09-03T04:57:00Z,gpu-nodes-3,shared_storage_available,TiB,3,0.420557,0.420559,0.42056,0.42056
