time,node,metric,unit,n,min,mean,p95,max
2026-09-03T02:36:00Z,gpu-nodes-0,gpu_hbm_used,GiB,368,0.717468,1.72973,5.16925,5.18878
2026-09-03T02:36:00Z,gpu-nodes-0,gpu_power,W,368,186.429,217.96,255.74,257.102
2026-09-03T02:36:00Z,gpu-nodes-0,gpu_utilization,%,368,0,2.16848,1.0,100
2026-09-03T02:36:00Z,gpu-nodes-0,host_cpu_busy,%,45,0.711934,2.46095,5.02081,5.1079
2026-09-03T02:36:00Z,gpu-nodes-0,host_memory_available,GiB,46,2939.28,2943.93,2947.48,2947.56
2026-09-03T02:36:00Z,gpu-nodes-0,ib_rail_rx,GB/s,360,0.0,0.000106501,5.75981e-07,0.00465211
2026-09-03T02:36:00Z,gpu-nodes-0,ib_rail_tx,GB/s,360,0.0,0.0001065,5.75981e-07,0.00465205
2026-09-03T02:36:00Z,gpu-nodes-0,lustre_client_read,GB/s,58,0.0,0.0164603,0.0600938,0.462342
2026-09-03T02:36:00Z,gpu-nodes-0,lustre_client_write,GB/s,58,5.32797e-05,0.000411077,0.000893923,0.0014174
2026-09-03T02:36:00Z,gpu-nodes-0,nvlink_gpu_tx,GB/s,360,0.0,0.000878244,0.000919485,0.0386034
2026-09-03T02:36:00Z,gpu-nodes-0,shared_storage_available,TiB,46,1.33141,1.33145,1.33148,1.33149
2026-09-03T02:36:00Z,gpu-nodes-1,gpu_hbm_used,GiB,368,0.717468,1.73433,5.20831,5.22784
2026-09-03T02:36:00Z,gpu-nodes-1,gpu_power,W,368,183.729,214.954,255.091,257.437
2026-09-03T02:36:00Z,gpu-nodes-1,gpu_utilization,%,368,0,0.521739,0.0,100
2026-09-03T02:36:00Z,gpu-nodes-1,host_cpu_busy,%,45,0.566893,1.9224,4.12987,4.89473
2026-09-03T02:36:00Z,gpu-nodes-1,host_memory_available,GiB,46,2911.31,2916.09,2919.77,2919.78
2026-09-03T02:36:00Z,gpu-nodes-1,ib_rail_rx,GB/s,360,0.0,0.00010966,0.0,0.00493773
2026-09-03T02:36:00Z,gpu-nodes-1,ib_rail_tx,GB/s,360,0.0,0.00010966,0.0,0.0049377
