time,node,metric,unit,n,min,mean,p95,max
2026-09-03T03:26:00Z,gpu-nodes-0,gpu_hbm_used,GiB,232,0.717468,0.754476,0.80968,1.52863
2026-09-03T03:26:00Z,gpu-nodes-0,gpu_power,W,232,186.554,195.336,227.694,256.258
2026-09-03T03:26:00Z,gpu-nodes-0,gpu_utilization,%,232,0,0,0.0,0
2026-09-03T03:26:00Z,gpu-nodes-0,host_cpu_busy,%,28,0.677735,1.55631,3.46237,3.64465
2026-09-03T03:26:00Z,gpu-nodes-0,host_memory_available,GiB,29,2940.96,2946.24,2947.79,2947.81
2026-09-03T03:26:00Z,gpu-nodes-0,ib_rail_rx,GB/s,224,0.0,2.58571e-08,1.48034e-07,5.7639e-07
2026-09-03T03:26:00Z,gpu-nodes-0,ib_rail_tx,GB/s,224,0.0,2.05707e-08,0.0,5.7639e-07
2026-09-03T03:26:00Z,gpu-nodes-0,lustre_client_read,GB/s,41,0.0,0.0181072,0.0786381,0.453443
2026-09-03T03:26:00Z,gpu-nodes-0,lustre_client_write,GB/s,41,5.34561e-05,0.000367074,0.000792602,0.00161933
2026-09-03T03:26:00Z,gpu-nodes-0,nvlink_gpu_tx,GB/s,224,0.0,0.0,0.0,0.0
2026-09-03T03:26:00Z,gpu-nodes-0,shared_storage_available,TiB,29,1.32935,1.32937,1.32939,1.32939
2026-09-03T03:26:00Z,gpu-nodes-1,gpu_hbm_used,GiB,232,0.717468,0.758309,1.01554,1.52863
2026-09-03T03:26:00Z,gpu-nodes-1,gpu_power,W,232,183.756,192.754,225.998,256.439
2026-09-03T03:26:00Z,gpu-nodes-1,gpu_utilization,%,232,0,0.0431034,0.0,8
2026-09-03T03:26:00Z,gpu-nodes-1,host_cpu_busy,%,28,0.567857,0.95035,1.43198,2.96328
2026-09-03T03:26:00Z,gpu-nodes-1,host_memory_available,GiB,29,2954.04,2959.46,2960.83,2960.84
2026-09-03T03:26:00Z,gpu-nodes-1,ib_rail_rx,GB/s,224,0.0,2.52012e-08,1.4795e-07,5.76624e-07
2026-09-03T03:26:00Z,gpu-nodes-1,ib_rail_tx,GB/s,224,0.0,2.12375e-08,0.0,5.76624e-07
2026-09-03T03:26:00Z,gpu-nodes-1,lustre_client_read,GB/s,39,0.0,0.0186528,0.088781,0.384276
2026-09-03T03:26:00Z,gpu-nodes-1,lustre_client_write,GB/s,39,5.33259e-05,0.000374177,0.000792323,0.00161988
2026-09-03T03:26:00Z,gpu-nodes-1,nvlink_gpu_tx,GB/s,224,0.0,0.0,0.0,0.0
2026-09-03T03:26:00Z,gpu-nodes-1,shared_storage_available,TiB,29,1.32935,1.32937,1.32939,1.32939
2026-09-03T03:26:00Z,gpu-nodes-2,gpu_hbm_used,GiB,240,0.717468,0.755376,0.766907,1.52863
2026-09-03T03:26:00Z,gpu-nodes-2,gpu_power,W,240,187.952,195.862,222.022,250.783
2026-09-03T03:26:00Z,gpu-nodes-2,gpu_utilization,%,240,0,0.0125,0.0,1
2026-09-03T03:26:00Z,gpu-nodes-2,host_cpu_busy,%,29,0.597937,0.925209,1.53144,1.69413
2026-09-03T03:26:00Z,gpu-nodes-2,host_memory_available,GiB,30,2967.0,2972.36,2973.77,2973.77
2026-09-03T03:26:00Z,gpu-nodes-2,ib_rail_rx,GB/s,232,0.0,2.49693e-08,1.48031e-07,5.76528e-07
2026-09-03T03:26:00Z,gpu-nodes-2,ib_rail_tx,GB/s,232,0.0,1.98654e-08,0.0,5.76528e-07
2026-09-03T03:26:00Z,gpu-nodes-2,lustre_client_read,GB/s,38,0.0,0.019491,0.0964972,0.417927
2026-09-03T03:26:00Z,gpu-nodes-2,lustre_client_write,GB/s,38,2.99472e-05,0.000376269,0.000762874,0.00194064
2026-09-03T03:26:00Z,gpu-nodes-2,nvlink_gpu_tx,GB/s,232,0.0,0.0,0.0,0.0
2026-09-03T03:26:00Z,gpu-nodes-2,shared_storage_available,TiB,30,1.32935,1.32937,1.32939,1.32939
2026-09-03T03:26:00Z,gpu-nodes-3,gpu_hbm_used,GiB,232,0.717468,0.748934,0.743314,1.52863
